workload,trial_idx,datetime,accumulated_submission_time,accuracy,loss,global_step,epoch,steps_per_epoch,global_start_time,goal_reached,is_time_remaining,training_complete,batch_size,hparam.learning_rate,hparam.momentum,workload.eval_period_time_sec,workload.max_allowed_runtime_sec,workload.num_eval_train_examples,workload.num_train_examples,workload.num_validation_examples,workload.target_value,extra.coil100.target_value,cpu.util.avg_percent_since_last,cpu.freq.current,mem.total,mem.available,mem.used,mem.percent_used,mem.read_bytes_since_boot,mem.write_bytes_since_boot,net.bytes_sent_since_boot,net.bytes_recv_since_boot,gpu.count,gpu.0.compute.util,gpu.0.mem.util,gpu.0.mem.total,gpu.0.mem.used,gpu.0.mem.free,gpu.0.temp.current,gpu.avg.compute.util,gpu.avg.mem.util,gpu.avg.mem.total,gpu.avg.mem.used,gpu.avg.mem.free,gpu.avg.temp.current
coil100_jax_dropout,3,2022-04-12T04:13:41.761742,2.761077404022217,0.0055555556900799,4.575707912445068,0,0.0,90,1649751214.291157,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.1,2194.842,186810937344,168373374976,16547708928,9.9,423062659584,225060763648,4041925418600,36576500467019,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,40.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,40.0
coil100_jax_dropout,3,2022-04-12T04:13:50.901809,4.993726015090942,0.2555555701255798,3.395893096923828,90,1.0,90,1649751214.291157,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.1,2194.842,186810937344,167658397696,17262809088,10.3,423062659584,225060767744,4041926330944,36576652871947,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,41.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,41.0
coil100_jax_dropout,3,2022-04-12T04:13:59.994627,7.201178789138794,0.6388888955116272,1.646079182624817,180,2.0,90,1649751214.291157,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.1,2194.842,186810937344,167394910208,17518297088,10.4,423062712832,225060807168,4041947180126,36576690498291,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,41.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,41.0
coil100_jax_dropout,3,2022-04-12T04:14:09.508572,9.39234733581543,0.8694444894790649,0.599588930606842,270,3.0,90,1649751214.291157,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.1,2194.842,186810937344,167584202752,17328939008,10.3,423062712832,225060807168,4041965597054,36576691500318,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,41.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,41.0
coil100_jax_dropout,3,2022-04-12T04:14:18.448247,11.59308409690857,0.925000011920929,0.2653025090694427,360,4.0,90,1649751214.291157,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.1,2194.842,186810937344,167409795072,17503559680,10.4,423062712832,225060807168,4041988998374,36576694708060,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,41.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,41.0
coil100_jax_dropout,3,2022-04-12T04:14:27.502082,13.805375099182127,0.9583333730697632,0.1477275639772415,450,5.0,90,1649751214.291157,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.1,2194.842,186810937344,167573835776,17340170240,10.3,423062712832,225060836352,4042007391220,36576695185628,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,41.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,41.0
coil100_jax_dropout,3,2022-04-12T04:14:36.547327,16.005362510681152,0.9625000357627868,0.1030523553490638,540,6.0,90,1649751214.291157,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.1,2194.842,186810937344,167582072832,17332408320,10.3,423062712832,225060840448,4042028027143,36576695714415,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,41.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,41.0
coil100_jax_dropout,3,2022-04-12T04:14:45.449919,18.22479248046875,0.9715278148651124,0.0780993476510047,630,7.0,90,1649751214.291157,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.1,2194.842,186810937344,167417503744,17496150016,10.4,423062712832,225060889600,4042046405785,36576696192258,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,42.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,42.0
coil100_jax_dropout,3,2022-04-12T04:14:54.138875,20.453572273254395,0.9784722328186036,0.0456491708755493,720,8.0,90,1649751214.291157,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.1,2194.842,186810937344,167415308288,17498234880,10.4,423062712832,225060889600,4042066987560,36576696676675,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,42.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,42.0
coil100_jax_dropout,3,2022-04-12T04:15:03.129808,22.68610668182373,0.975000023841858,0.0513785369694232,810,9.0,90,1649751214.291157,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.1,2194.842,186810937344,167417479168,17496629248,10.4,423062712832,225060956160,4042086042960,36576697233319,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,42.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,42.0
