workload,trial_idx,datetime,accumulated_submission_time,accuracy,loss,global_step,epoch,steps_per_epoch,global_start_time,goal_reached,is_time_remaining,training_complete,batch_size,hparam.learning_rate,hparam.momentum,workload.eval_period_time_sec,workload.max_allowed_runtime_sec,workload.num_eval_train_examples,workload.num_train_examples,workload.num_validation_examples,workload.target_value,extra.cifar10.target_value,extra.cifar10_custom.aug_fliplr,extra.cifar10_custom.aug_width_shift_max,extra.cifar10_custom.aug_height_shift_max,cpu.util.avg_percent_since_last,cpu.freq.current,mem.total,mem.available,mem.used,mem.percent_used,mem.read_bytes_since_boot,mem.write_bytes_since_boot,net.bytes_sent_since_boot,net.bytes_recv_since_boot,gpu.count,gpu.0.compute.util,gpu.0.mem.util,gpu.0.mem.total,gpu.0.mem.used,gpu.0.mem.free,gpu.0.temp.current,gpu.avg.compute.util,gpu.avg.mem.util,gpu.avg.mem.total,gpu.avg.mem.used,gpu.avg.mem.free,gpu.avg.temp.current
cifar10_jax_custom,4,2022-04-07T16:36:58.135388,89.07606768608093,0.6728000044822693,0.9457603693008424,7810,10.0,781,1649363682.0820348,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171397767168,14104453120,8.3,422542683648,223878225408,3973621448652,35540240184778,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_custom,4,2022-04-07T16:37:10.719737,97.41373372077942,0.6874000430107117,0.9067961573600768,8591,11.0,781,1649363682.0820348,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171512553472,13989421056,8.2,422542683648,223878330368,3973623671441,35540240224291,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_custom,4,2022-04-07T16:37:24.225618,106.56667685508728,0.6785000562667847,0.9499157667160034,9372,12.0,781,1649363682.0820348,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171573342208,13929156608,8.2,422542683648,223878467584,3973625891230,35540240257757,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_custom,4,2022-04-07T16:37:37.492880,115.38940596580504,0.690000057220459,0.9157699942588806,10153,13.0,781,1649363682.0820348,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171487494144,14014640128,8.2,422542683648,223878467584,3973628112413,35540240291220,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_custom,4,2022-04-07T16:37:50.500623,123.98950839042664,0.7000000476837158,0.90577632188797,10934,14.0,781,1649363682.0820348,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171420299264,14082224128,8.2,422542683648,223878609920,3973630334052,35540240325264,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_custom,4,2022-04-07T16:38:03.713916,132.84254026412964,0.6981000304222107,0.9226409792900084,11715,15.0,781,1649363682.0820348,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171512561664,13989715968,8.2,422542683648,223878688256,3973632556514,35540240352094,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_custom,4,2022-04-07T16:38:16.882307,141.63600158691406,0.691800057888031,0.9447526931762696,12496,16.0,781,1649363682.0820348,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171143225344,14358806528,8.4,422542683648,223878850048,3973634781984,35540240394149,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_custom,4,2022-04-07T16:38:29.727446,150.11079788208008,0.7090000510215759,0.9188300967216492,13277,17.0,781,1649363682.0820348,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171512385536,13989916672,8.2,422542683648,223878850048,3973637005085,35540240426981,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_custom,4,2022-04-07T16:38:42.578008,158.56749534606934,0.6980000138282776,0.999363124370575,14058,18.0,781,1649363682.0820348,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.3,2194.842,186810937344,171413295104,14088761344,8.2,422542683648,223878850048,3973639228445,35540240461580,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_custom,4,2022-04-07T16:38:55.861839,167.40616250038147,0.7002000212669373,1.036550998687744,14839,19.0,781,1649363682.0820348,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171512381440,13990199296,8.2,422542683648,223878992384,3973641453420,35540240495522,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_custom,4,2022-04-07T16:39:08.838443,175.94304013252258,0.7013000249862671,1.0834527015686035,15620,20.0,781,1649363682.0820348,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171260243968,14242091008,8.3,422542683648,223879099392,3973643679378,35540240523411,1,0.0,0.9164257151645647,32510.0,29793.0,2717.0,33.0,0.0,0.9164257151645647,32510.0,29793.0,2717.0,33.0
