workload,trial_idx,datetime,accumulated_submission_time,accuracy,loss,global_step,epoch,steps_per_epoch,global_start_time,goal_reached,is_time_remaining,training_complete,batch_size,hparam.learning_rate,hparam.momentum,workload.eval_period_time_sec,workload.max_allowed_runtime_sec,workload.num_eval_train_examples,workload.num_train_examples,workload.num_validation_examples,workload.target_value,extra.cifar10.target_value,extra.cifar10_custom.aug_fliplr,extra.cifar10_custom.aug_width_shift_max,extra.cifar10_custom.aug_height_shift_max,cpu.util.avg_percent_since_last,cpu.freq.current,mem.total,mem.available,mem.used,mem.percent_used,mem.read_bytes_since_boot,mem.write_bytes_since_boot,net.bytes_sent_since_boot,net.bytes_recv_since_boot,gpu.count,gpu.0.compute.util,gpu.0.mem.util,gpu.0.mem.total,gpu.0.mem.used,gpu.0.mem.free,gpu.0.temp.current,gpu.avg.compute.util,gpu.avg.mem.util,gpu.avg.mem.total,gpu.avg.mem.used,gpu.avg.mem.free,gpu.avg.temp.current
cifar10_jax_custom,1,2022-04-07T16:23:29.465482,87.75250434875488,0.6955000162124634,0.8761051893234253,7810,10.0,781,1649362865.4083655,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171596054528,13905125376,8.1,422542683648,223872783872,3973494821990,35540238482596,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_custom,1,2022-04-07T16:23:42.357631,95.89019250869752,0.6965000033378601,0.8864399790763855,8591,11.0,781,1649362865.4083655,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171233681408,14268657664,8.3,422542683648,223872783872,3973497041437,35540238506871,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_custom,1,2022-04-07T16:23:55.025487,104.21034574508668,0.7100000381469727,0.8453829288482666,9372,12.0,781,1649362865.4083655,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171266220032,14235873280,8.3,422542683648,223872926208,3973499262438,35540238532797,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_custom,1,2022-04-07T16:24:07.593686,112.54703617095949,0.7091000080108643,0.8539724946022034,10153,13.0,781,1649362865.4083655,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171549593600,13952135168,8.2,422542683648,223873031168,3973501484417,35540238560228,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_custom,1,2022-04-07T16:24:20.368373,120.96740484237672,0.7101000547409058,0.8867589235305786,10934,14.0,781,1649362865.4083655,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171484372992,14017744896,8.2,422542683648,223873152512,3973503704869,35540238584278,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_custom,1,2022-04-07T16:24:33.040034,129.32317972183228,0.7128000259399414,0.8595568537712097,11715,15.0,781,1649362865.4083655,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171354628096,14147244032,8.3,422542683648,223873152512,3973505925579,35540238608818,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_custom,1,2022-04-07T16:24:45.592927,137.61121773719788,0.7172000408172607,0.9018277525901794,12496,16.0,781,1649362865.4083655,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171593379840,13908762624,8.1,422542683648,223873311232,3973508147385,35540238626517,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,33.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,33.0
cifar10_jax_custom,1,2022-04-07T16:24:58.068066,145.8604748249054,0.7204000353813171,0.8978281617164612,13277,17.0,781,1649362865.4083655,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.2,2194.842,186810937344,171569217536,13932679168,8.2,422542683648,223873311232,3973510371311,35540238653003,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,33.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,33.0
cifar10_jax_custom,1,2022-04-07T16:25:10.701009,154.23713994026184,0.7207000255584717,0.9258918166160583,14058,18.0,781,1649362865.4083655,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.3,2194.842,186810937344,171288932352,14213488640,8.3,422542683648,223873411072,3973512596208,35540238684792,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,33.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,33.0
cifar10_jax_custom,5,2022-04-07T16:39:16.567191,0.9397566318511964,0.0994000062346458,2.3039112091064453,0,0.0,781,1649363952.0686183,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,0.5,2,2,5.1,2194.842,186810937344,171500834816,14001500160,8.2,422542683648,223879236608,3973643702823,35540240530029,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
