workload,trial_idx,datetime,accumulated_submission_time,accuracy,loss,global_step,epoch,steps_per_epoch,global_start_time,goal_reached,is_time_remaining,training_complete,batch_size,hparam.learning_rate,hparam.momentum,workload.eval_period_time_sec,workload.max_allowed_runtime_sec,workload.num_eval_train_examples,workload.num_train_examples,workload.num_validation_examples,workload.target_value,extra.coil100.target_value,extra.coil100.aug_fliplr,extra.cifar10.aug_width_shift_max,extra.cifar10.aug_height_shift_max,cpu.util.avg_percent_since_last,cpu.freq.current,mem.total,mem.available,mem.used,mem.percent_used,mem.read_bytes_since_boot,mem.write_bytes_since_boot,net.bytes_sent_since_boot,net.bytes_recv_since_boot,gpu.count,gpu.0.compute.util,gpu.0.mem.util,gpu.0.mem.total,gpu.0.mem.used,gpu.0.mem.free,gpu.0.temp.current,gpu.avg.compute.util,gpu.avg.mem.util,gpu.avg.mem.total,gpu.avg.mem.used,gpu.avg.mem.free,gpu.avg.temp.current
coil100_jax_dropout,3,2022-04-11T22:06:11.289890,2.9984264373779297,0.0125000001862645,4.5739569664001465,0,0.0,90,1649729160.3276117,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,8.0,2194.842,186810937344,156469800960,28451758080,16.2,423026010112,224994141184,4028533027228,36563514273002,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,36.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,36.0
coil100_jax_dropout,3,2022-04-11T22:06:30.515732,12.4270977973938,0.0319444462656974,4.296908855438232,90,1.0,90,1649729160.3276117,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,8.0,2194.842,186810937344,156977332224,27944226816,16.0,423026010112,224994249728,4028533066542,36563514282452,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,3,2022-04-11T22:06:50.089468,21.918709993362427,0.2784722149372101,2.9707391262054443,180,2.0,90,1649729160.3276117,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,8.0,2194.842,186810937344,157050302464,27871092736,15.9,423026010112,224994249728,4028551145690,36563514438531,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,3,2022-04-11T22:07:10.099816,31.373443603515625,0.5736111402511597,1.7150347232818604,270,3.0,90,1649729160.3276117,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,8.0,2194.842,186810937344,156900339712,28020637696,16.0,423026010112,224994251264,4028569218546,36563514619896,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,3,2022-04-11T22:07:30.014073,40.88501286506653,0.7715277671813965,0.9137948155403136,360,4.0,90,1649729160.3276117,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,7.9,2194.842,186810937344,156863627264,28057702400,16.0,423026010112,224994252800,4028587274884,36563514786190,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,3,2022-04-11T22:07:49.688696,50.40522384643555,0.8215277791023254,0.6296310424804688,450,5.0,90,1649729160.3276117,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,8.0,2194.842,186810937344,157122416640,27799265280,15.9,423026010112,224994252800,4028605382322,36563514971589,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,3,2022-04-11T22:08:09.298011,59.85971260070801,0.9166666865348816,0.3528852760791778,540,6.0,90,1649729160.3276117,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,8.0,2194.842,186810937344,157339275264,27582283776,15.8,423026010112,224994252800,4028623538878,36563515169620,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,3,2022-04-11T22:08:28.666688,69.3643250465393,0.912500023841858,0.2451765388250351,630,7.0,90,1649729160.3276117,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,8.0,2194.842,186810937344,157924192256,26997202944,15.5,423026010112,224994252800,4028641637396,36563515349648,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,3,2022-04-11T22:08:47.979936,78.86331534385681,0.9361111521720886,0.2032736092805862,720,8.0,90,1649729160.3276117,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,8.0,2194.842,186810937344,158509256704,26411720704,15.1,423026010112,224994252800,4028659694464,36563515509719,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,3,2022-04-11T22:09:07.084833,88.34423422813416,0.945138931274414,0.1540393531322479,810,9.0,90,1649729160.3276117,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,8.0,2194.842,186810937344,154999721984,29921607680,17.0,423026010112,224994252800,4028677798010,36563515683757,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
